/home/adamm/dist/mysql/bin/mysqld, Version: 5.1.47 (MySQL Community Server (GPL)). started with:
Tcp port: 3307  Unix socket: /home/adamm/dist/mysql/mysqld.sock
Time                 Id Command    Argument
110421 12:14:56	 1260 Query	SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED
		 1260 Query	select personnelb0_.personnel_id as personnel1_16_2_, personnelb0_.version_no as version13_16_2_, personnelb0_.level_id as level10_16_2_, personnelb0_.office_id as office6_16_2_, personnelb0_.preferred_locale as preferred5_16_2_, personnelb0_.global_personnel_num as global14_16_2_, personnelb0_.display_name as display2_16_2_, personnelb0_.personnel_status as personnel9_16_2_, personnelb0_.title as title16_2_, personnelb0_.search_id as search16_16_2_, personnelb0_.max_child_count as max17_16_2_, personnelb0_.password as password16_2_, personnelb0_.login_name as login3_16_2_, personnelb0_.email_id as email18_16_2_, personnelb0_.password_changed as password8_16_2_, personnelb0_.created_by as created19_16_2_, personnelb0_.created_date as created20_16_2_, personnelb0_.updated_by as updated21_16_2_, personnelb0_.updated_date as updated22_16_2_, personnelb0_.last_login as last12_16_2_, personnelb0_.locked as locked16_2_, personnelb0_.no_of_tries as no7_16_2_, personneld1_.personnel_id as personnel1_28_0_, personneld1_.first_name as first2_28_0_, personneld1_.middle_name as middle3_28_0_, personneld1_.last_name as last4_28_0_, personneld1_.second_last_name as second5_28_0_, personneld1_.government_id_number as government6_28_0_, personneld1_.dob as dob28_0_, personneld1_.marital_status as marital8_28_0_, personneld1_.gender as gender28_0_, personneld1_.date_of_joining_mfi as date10_28_0_, personneld1_.date_of_joining_branch as date11_28_0_, personneld1_.date_of_leaving_branch as date12_28_0_, personneld1_.address_1 as address13_28_0_, personneld1_.address_2 as address14_28_0_, personneld1_.address_3 as address15_28_0_, personneld1_.city as city28_0_, personneld1_.state as state28_0_, personneld1_.country as country28_0_, personneld1_.postal_code as postal19_28_0_, personneld1_.telephone as telephone28_0_, personnelb2_.personnel_id as personnel1_16_1_, personnelb2_.version_no as version13_16_1_, personnelb2_.level_id as level10_16_1_, personnelb2_.office_id as office6_16_1_, personnelb2_.preferred_locale as preferred5_16_1_, personnelb2_.global_personnel_num as global14_16_1_, personnelb2_.display_name as display2_16_1_, personnelb2_.personnel_status as personnel9_16_1_, personnelb2_.title as title16_1_, personnelb2_.search_id as search16_16_1_, personnelb2_.max_child_count as max17_16_1_, personnelb2_.password as password16_1_, personnelb2_.login_name as login3_16_1_, personnelb2_.email_id as email18_16_1_, personnelb2_.password_changed as password8_16_1_, personnelb2_.created_by as created19_16_1_, personnelb2_.created_date as created20_16_1_, personnelb2_.updated_by as updated21_16_1_, personnelb2_.updated_date as updated22_16_1_, personnelb2_.last_login as last12_16_1_, personnelb2_.locked as locked16_1_, personnelb2_.no_of_tries as no7_16_1_ from personnel personnelb0_ left outer join personnel_details personneld1_ on personnelb0_.personnel_id=personneld1_.personnel_id left outer join personnel personnelb2_ on personneld1_.personnel_id=personnelb2_.personnel_id where personnelb0_.personnel_id=1
		 1260 Query	select personnell0_.level_id as level1_29_0_, personnell0_.interaction_flag as interact2_29_0_, personnell0_.level_name_id as level3_29_0_, personnell0_.parent_level_id as parent4_29_0_ from personnel_level personnell0_ where personnell0_.level_id=2
		 1260 Query	select personnell0_.level_id as level1_29_0_, personnell0_.interaction_flag as interact2_29_0_, personnell0_.level_name_id as level3_29_0_, personnell0_.parent_level_id as parent4_29_0_ from personnel_level personnell0_ where personnell0_.level_id=1
		 1260 Query	select officebo0_.office_id as office1_15_1_, officebo0_.version_no as version4_15_1_, officebo0_.search_id as search2_15_1_, officebo0_.display_name as display5_15_1_, officebo0_.created_date as created6_15_1_, officebo0_.updated_date as updated7_15_1_, officebo0_.global_office_num as global8_15_1_, officebo0_.max_child_count as max9_15_1_, officebo0_.local_remote_flag as local10_15_1_, officebo0_.created_by as created11_15_1_, officebo0_.updated_by as updated12_15_1_, officebo0_.office_short_name as office13_15_1_, officebo0_.office_level_id as office14_15_1_, officebo0_.parent_office_id as parent3_15_1_, officebo0_.status_id as status15_15_1_, officeaddr1_.office_address_id as office1_24_0_, officeaddr1_.address_1 as address2_24_0_, officeaddr1_.address_2 as address3_24_0_, officeaddr1_.address_3 as address4_24_0_, officeaddr1_.city as city24_0_, officeaddr1_.state as state24_0_, officeaddr1_.country as country24_0_, officeaddr1_.zip as zip24_0_, officeaddr1_.telephone as telephone24_0_, officeaddr1_.office_id as office10_24_0_ from office officebo0_ left outer join office_address officeaddr1_ on officebo0_.office_id=officeaddr1_.office_id where officebo0_.office_id=1
		 1260 Query	select personnels0_.personnel_status_id as personnel1_31_0_, personnels0_.lookup_id as lookup2_31_0_ from personnel_status personnels0_ where personnels0_.personnel_status_id=1
		 1260 Query	select personnelm0_.personnel_id as personnel7_16_1_, personnelm0_.personnel_movement_id as personnel1_1_, personnelm0_.personnel_movement_id as personnel1_30_0_, personnelm0_.status as status30_0_, personnelm0_.start_date as start3_30_0_, personnelm0_.end_date as end4_30_0_, personnelm0_.updated_by as updated5_30_0_, personnelm0_.updated_date as updated6_30_0_, personnelm0_.personnel_id as personnel7_30_0_, personnelm0_.office_id as office8_30_0_ from personnel_movement personnelm0_ where personnelm0_.personnel_id=1
		 1260 Query	select personnelr0_.personnel_id as personnel2_16_1_, personnelr0_.personnel_role_id as personnel1_1_, personnelr0_.personnel_role_id as personnel1_17_0_, personnelr0_.personnel_id as personnel2_17_0_, personnelr0_.role_id as role3_17_0_ from personnel_role personnelr0_ where personnelr0_.personnel_id=1
		 1260 Query	select rolebo0_.role_id as role1_147_0_, rolebo0_.version_no as version2_147_0_, rolebo0_.role_name as role3_147_0_, rolebo0_.created_date as created4_147_0_, rolebo0_.created_by as created5_147_0_, rolebo0_.updated_by as updated6_147_0_, rolebo0_.updated_date as updated7_147_0_ from role rolebo0_ where rolebo0_.role_id=1
		 1260 Query	select officebo0_.office_id as office1_15_, officebo0_.version_no as version4_15_, officebo0_.search_id as search2_15_, officebo0_.display_name as display5_15_, officebo0_.created_date as created6_15_, officebo0_.updated_date as updated7_15_, officebo0_.global_office_num as global8_15_, officebo0_.max_child_count as max9_15_, officebo0_.local_remote_flag as local10_15_, officebo0_.created_by as created11_15_, officebo0_.updated_by as updated12_15_, officebo0_.office_short_name as office13_15_, officebo0_.office_level_id as office14_15_, officebo0_.parent_office_id as parent3_15_, officebo0_.status_id as status15_15_ from office officebo0_ where (officebo0_.search_id like '1.1.%') and officebo0_.office_level_id=5 and officebo0_.status_id=1 order by officebo0_.display_name
		 1260 Query	select activityro0_.activity_id as activity1_13_ from activity activityro0_
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=242
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=241
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=239
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=238
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=234
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=228
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=211
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=210
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=243
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=240
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=230
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=224
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=213
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=205
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=204
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=233
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=201
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=197
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=192
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=237
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=236
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=232
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=231
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=229
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=226
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=225
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=223
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=222
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=221
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=220
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=216
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=215
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=214
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=151
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=150
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=149
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=148
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=147
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=146
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=145
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=191
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=190
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=188
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=187
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=186
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=185
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=184
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=183
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=182
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=181
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=180
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=140
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=139
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=138
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=137
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=217
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=189
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=178
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=131
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=120
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=119
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=118
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=116
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=115
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=179
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=129
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=110
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=109
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=108
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=106
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=105
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=104
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=103
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=102
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=101
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=218
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=202
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=113
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=100
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=98
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=97
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=95
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=94
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=195
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=92
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=91
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=209
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=96
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=93
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=90
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=200
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=128
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=127
		 1260 Query	select activityro0_.activity_id as activity1_13_0_, activityro0_.role_id as role2_0_ from roles_activity activityro0_ where activityro0_.activity_id=88
